name,extension,path,dirs
50_Minutes-Colours,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\50_Minutes-Colours.mp3,alternative
50_Minutes-Nightwalk,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\50_Minutes-Nightwalk.mp3,alternative
50_Minutes-The_Great_Wall,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\50_Minutes-The_Great_Wall.mp3,alternative
Abigail_Lapell-Dress_Rehearsal,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Abigail_Lapell-Dress_Rehearsal.mp3,alternative
Albino_Catfish-Ice_Cream,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Albino_Catfish-Ice_Cream.mp3,alternative
Alex_Niedt-But_I_Love_You___,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Alex_Niedt-But_I_Love_You___.mp3,alternative
Anders_Tengdahl-I_came_here_to_see_you,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Anders_Tengdahl-I_came_here_to_see_you.mp3,alternative
Anders_Tengdahl-When_You_Cry,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Anders_Tengdahl-When_You_Cry.mp3,alternative
Back_Bone_Shiver-Give_It_A_Name,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Back_Bone_Shiver-Give_It_A_Name.mp3,alternative
Back_Bone_Shiver-Insect,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Back_Bone_Shiver-Insect.mp3,alternative
Barton_Gill-Reach_Out__acoustic_,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Barton_Gill-Reach_Out__acoustic_.mp3,alternative
bluestarbaby-all_i_need,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\bluestarbaby-all_i_need.mp3,alternative
Bondo-Just_Wanna_Get_Horny,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Bondo-Just_Wanna_Get_Horny.mp3,alternative
Cabrini-Winter_2000,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Cabrini-Winter_2000.mp3,alternative
cellophane_rain-orchid,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\cellophane_rain-orchid.mp3,alternative
Chance_-Say_What_You_Will,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Chance_-Say_What_You_Will.mp3,alternative
Circle_the_Square-CPU,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Circle_the_Square-CPU.mp3,alternative
Common_Thrill-Morphine_Drip,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Common_Thrill-Morphine_Drip.mp3,alternative
dallas_orbiter-Bed_of_Stars,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\dallas_orbiter-Bed_of_Stars.mp3,alternative
dave_keegan-Do_That_Again,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\dave_keegan-Do_That_Again.mp3,alternative
dave_keegan-Seven_Years,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\dave_keegan-Seven_Years.mp3,alternative
Denny_Porter-Where_to_Begin,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Denny_Porter-Where_to_Begin.mp3,alternative
dig_for_fire-that_s_all,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\dig_for_fire-that_s_all.mp3,alternative
docter-favorite_record,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\docter-favorite_record.mp3,alternative
Dopamine-Tempermentally,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Dopamine-Tempermentally.mp3,alternative
Emberglow-Back_At_You,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Emberglow-Back_At_You.mp3,alternative
Fake_Gimms-Simple_Facts,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Fake_Gimms-Simple_Facts.mp3,alternative
Fake_Gimms-The_Cell_Phone_Song,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Fake_Gimms-The_Cell_Phone_Song.mp3,alternative
Falling_Wallendas-Porcupine,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Falling_Wallendas-Porcupine.mp3,alternative
fearless_juan-Glow,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\fearless_juan-Glow.mp3,alternative
flying_virgins-tahoe_morning_diner,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\flying_virgins-tahoe_morning_diner.mp3,alternative
For_All_The_Drifters-Evening_Meets_The_Dawn,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\For_All_The_Drifters-Evening_Meets_The_Dawn.mp3,alternative
Frank_and_Oliver_Trio-One_Day,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Frank_and_Oliver_Trio-One_Day.mp3,alternative
Greg_Walsh-Day_by_Day,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Greg_Walsh-Day_by_Day.mp3,alternative
Halogen_canada__now__dead_leaves_-Somethings,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Halogen_canada__now__dead_leaves_-Somethings.mp3,alternative
Happy_Medium-Misty_blue,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Happy_Medium-Misty_blue.mp3,alternative
hayes-Asinimaha,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\hayes-Asinimaha.mp3,alternative
hostmom-it_s_close_up_far_away,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\hostmom-it_s_close_up_far_away.mp3,alternative
hostmom-supply_and_demand,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\hostmom-supply_and_demand.mp3,alternative
hotpipes-The_Fatal_Egg,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\hotpipes-The_Fatal_Egg.mp3,alternative
H_A_D_-Carpool,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\H_A_D_-Carpool.mp3,alternative
H_A_D_-Policemen___Planes,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\H_A_D_-Policemen___Planes.mp3,alternative
Ione_Skylab-Soak,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Ione_Skylab-Soak.mp3,alternative
Jabudah-Infected,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Jabudah-Infected.mp3,alternative
Jamie_Stellini-Don_t_Worry_About_Me,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Jamie_Stellini-Don_t_Worry_About_Me.mp3,alternative
Jeff_Johnston-Being_There,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Jeff_Johnston-Being_There.mp3,alternative
J_M_W_-New_Blues,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\J_M_W_-New_Blues.mp3,alternative
Kid_Chameleon-My_Heroin,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Kid_Chameleon-My_Heroin.mp3,alternative
Kinematic-So_Green,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Kinematic-So_Green.mp3,alternative
kite-as_worlds_collide,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\kite-as_worlds_collide.mp3,alternative
Kunek-Bright_Eyes__The_Swell,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Kunek-Bright_Eyes__The_Swell.mp3,alternative
Kunek-Good_Day,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Kunek-Good_Day.mp3,alternative
Kunek-Section_2,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Kunek-Section_2.mp3,alternative
laura_distasi-moonsong,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\laura_distasi-moonsong.mp3,alternative
LEDASWAN-Over_Again,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\LEDASWAN-Over_Again.mp3,alternative
